id,难度等级,难度描述,画风,场景,主体,物理属性.状态,物理属性.规则,物理属性.纹理,物理属性.透光度,物理属性.尺度,空间布局,动作,表情,特效,灯光.色调,灯光.方向,灯光.强度,色彩.饱和度,色彩.主色调,相机.角度,相机.运镜,相机.构图,相机.时间,相机.景别,相机.景深,相机.焦距,环境.时段,环境.天气,转场,promptability_score,promptability_bucket,primary_tags,secondary_tags,stylistic_tags
1,S1 最简,单物品/单人物 + 单场景 + 单镜头,卡通,客厅,昆虫,固体,科幻,光滑,半透明,微观,内外,跳跃,无,烟雾,暖光,逆光,低调,低饱和,暖色系,荷兰角,移,中心构图,延时摄影,特写,浅景深,微距,黄昏,雾天,无,1.0,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | lighting_intensity | composition | depth_of_field | focal_length,style | physical_state | physical_rule | texture | opacity | scale | color_saturation | color_palette | time_of_day | weather | transition
2,S1 最简,单物品/单人物 + 单场景 + 单镜头,电影质感,走廊,哺乳动物,固体,魔幻,毛发,不透明,常规,左右,跑步,怒:弱,火焰,彩色混合,侧光,高调,高饱和,单色系,平拍,跟,对称,倒放,中景,深景深,广角,黎明,雨天,无,1.0,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | lighting_intensity | composition | depth_of_field | focal_length,style | physical_state | physical_rule | texture | opacity | scale | color_saturation | color_palette | time_of_day | weather | transition
3,S1 最简,单物品/单人物 + 单场景 + 单镜头,哥特,仓库,人类,固体,梦境,布料,不透明,常规,前后,走路,喜:弱,爆炸,中性,顺光,高调,低饱和,暖色系,仰拍,摇,三分法,慢动作,远景,浅景深,长焦,夜晚,雪天,无,0.84,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | lighting_intensity | composition | depth_of_field | focal_length,style | physical_state | physical_rule | texture | opacity | scale | color_saturation | color_palette | time_of_day | weather | transition
4,S1 最简,单物品/单人物 + 单场景 + 单镜头,日式动漫,厨房,鸟类,固体,现实,羽毛,不透明,微观,上下,悬浮,无,雨,暖光,顶光,正常,去色,互补色,俯拍,拉,引导线,常规速度,全景,全景深,标准,白天,晴天,无,0.56,borderline,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | lighting_intensity | composition | depth_of_field | focal_length,style | physical_state | physical_rule | texture | opacity | scale | color_saturation | color_palette | time_of_day | weather | transition
5,S1 最简,单物品/单人物 + 单场景 + 单镜头,写实,办公室,水生动物,固体,现实,光滑,半透明,常规,环绕,游泳,无,光效,冷光,底光,低调,高饱和,冷色系,鸟瞰,推,框架构图,定格,近景,深景深,广角,黎明,阴天,无,0.84,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | lighting_intensity | composition | depth_of_field | focal_length,style | physical_state | physical_rule | texture | opacity | scale | color_saturation | color_palette | time_of_day | weather | transition
6,S2 简单,单物品/单人物 + 多场景 + 单镜头,写实,客厅 / 厨房,人类,固体,现实,布料,不透明,常规,左右,打斗,喜:强,雨,暖光,侧光,低调,高饱和,暖色系,鸟瞰,移,框架构图,倒放,近景,全景深,微距,黄昏,雨天,无,0.7,borderline,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | lighting_intensity | composition | depth_of_field | focal_length,style | physical_state | physical_rule | texture | opacity | scale | color_saturation | color_palette | time_of_day | weather | transition
7,S2 简单,单物品/单人物 + 多场景 + 单镜头,电影质感,厨房 / 走廊 / 客厅,鸟类,固体,现实,光滑,不透明,微观,前后,悬浮,无,烟雾,冷光,顺光,低调,低饱和,冷色系,俯拍,推,中心构图,定格,全景,深景深,广角,白天,雾天,无,0.7,borderline,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | lighting_intensity | composition | depth_of_field | focal_length,style | physical_state | physical_rule | texture | opacity | scale | color_saturation | color_palette | time_of_day | weather | transition
8,S2 简单,单物品/单人物 + 多场景 + 单镜头,哥特,客厅 / 走廊,水生动物,固体,魔幻,光滑,不透明,常规,内外,跳跃,无,爆炸,中性,顶光,高调,低饱和,互补色,平拍,摇,三分法,延时摄影,中景,深景深,广角,夜晚,雪天,无,0.84,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | lighting_intensity | composition | depth_of_field | focal_length,style | physical_state | physical_rule | texture | opacity | scale | color_saturation | color_palette | time_of_day | weather | transition
9,S2 简单,单物品/单人物 + 多场景 + 单镜头,卡通,办公室 / 客厅,哺乳动物,固体,梦境,毛发,不透明,微观,环绕,跑步,怒:弱,光效,暖光,逆光,正常,去色,暖色系,仰拍,拉,对称,常规速度,远景,浅景深,标准,黎明,阴天,无,0.54,conflict_heavy,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | lighting_intensity | composition | depth_of_field | focal_length,style | physical_state | physical_rule | texture | opacity | scale | color_saturation | color_palette | time_of_day | weather | transition
10,S2 简单,单物品/单人物 + 多场景 + 单镜头,日式动漫,办公室 / 客厅 / 厨房,昆虫,固体,科幻,光滑,半透明,常规,上下,走路,无,火焰,彩色混合,底光,高调,高饱和,单色系,荷兰角,跟,引导线,慢动作,特写,浅景深,长焦,黎明,晴天,无,0.92,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | lighting_intensity | composition | depth_of_field | focal_length,style | physical_state | physical_rule | texture | opacity | scale | color_saturation | color_palette | time_of_day | weather | transition
11,S3 中等,多物品/多人物 + 单场景 + 单镜头,哥特,客厅,人类 / 哺乳动物 / 鸟类,固体,梦境,羽毛,不透明,常规,前后,后空翻,喜:强,光效,冷光,侧光,高调,低饱和,暖色系,俯拍,摇,引导线,倒放,远景,浅景深,微距,黎明,雪天,无,0.84,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | lighting_intensity | composition | depth_of_field | focal_length,style | physical_state | physical_rule | texture | opacity | scale | color_saturation | color_palette | time_of_day | weather | transition
